NULL;Willkommen;This isch Italian;This isch French
NULL;Noten;This isch Italian;This isch French
NULL;ALS;This isch Italian;This isch French
NULL;Benutzerverwaltung;This isch Italian;This isch French
NULL;Dashboard;This isch Italian;This isch French
NULL;Fachvortrag;This isch Italian;This isch French
NULL;Leistungslohn;This isch Italian;This isch French
NULL;Malus;This isch Italian;This isch French
NULL;PE;This isch Italian;This isch French
NULL;STAO;This isch Italian;This isch French
NULL;Stundenplan;This isch Italian;This isch French
NULL;Terminmanagement;This isch Italian;This isch French
NULL;Verhaltensziele;This isch Italian;This isch French
NULL;ÜK-KN CYP;This isch Italian;This isch French
NULL;Navigation bearbeiten;This isch Italian;This isch French
NULL;Einstellungen;This isch Italian;This isch French
NULL;Einträge anzeigen;This isch Italian;This isch French
NULL;ALS-Titel;This isch Italian;This isch French
NULL;Punktzahl;This isch Italian;This isch French
NULL;Lernende/r;This isch Italian;This isch French
NULL;Typ;This isch Italian;This isch French
NULL;Erstellungsdatum;This isch Italian;This isch French
NULL;bis;This isch Italian;This isch French
NULL;von;This isch Italian;This isch French
NULL;Einträgen;This isch Italian;This isch French
NULL;Zurück;This isch Italian;This isch French
NULL;Nächste;This isch Italian;This isch French
NULL;Suchen;This isch Italian;This isch French
NULL;Eintrag beanstanden;This isch Italian;This isch French
NULL;Begründung;This isch Italian;This isch French
NULL;Abschicken;This isch Italian;This isch French
NULL;Abschicken & Eintrag löschen;This isch Italian;This isch French
NULL;Abbrechen;This isch Italian;This isch French
NULL;Beim Abschicken werden die verantwortlichen Personen per E-Mail benachrichtigt, um den Eintrag zu überprüfen;This isch Italian;This isch French
NULL;Diese Punktzahlen sind Leistungslohnrelevant. Bitte achte auf die Korrektheit deiner Einträge, es können Stichproben durchgeführt werden;This isch Italian;This isch French
NULL;ALS-Leistungsziele;This isch Italian;This isch French
NULL;ALS-Verhaltensziele;This isch Italian;This isch French
NULL;Semester;This isch Italian;This isch French
NULL;Eintrag hinzufügen;This isch Italian;This isch French
NULL;Benutzerverwaltung;This isch Italian;This isch French
NULL;Gruppe;This isch Italian;This isch French
NULL;Vorname;This isch Italian;This isch French
NULL;Nachname;This isch Italian;This isch French
NULL;Benutzer hinzufügen;This isch Italian;This isch French
NULL;Hinzufügen;This isch Italian;This isch French
NULL;Fachvortrag-Titel;This isch Italian;This isch French
NULL;Lernende;This isch Italian;This isch French
NULL;Lohn;This isch Italian;This isch French
NULL;Lohnzyklus;This isch Italian;This isch French
NULL;Jahr;This isch Italian;This isch French
NULL;Export;This isch Italian;This isch French
NULL;Informatik;This isch Italian;This isch French
NULL;Versicherung;This isch Italian;This isch French
NULL;Bank;This isch Italian;This isch French
NULL;Gewichtung;This isch Italian;This isch French
NULL;Abschicken;This isch Italian;This isch French
NULL;Definierte Werte;This isch Italian;This isch French
NULL;Neuen Malus eintragen;This isch Italian;This isch French
NULL;Notenschnitt;This isch Italian;This isch French
NULL;Ungenügende Noten;This isch Italian;This isch French
NULL;Fächer/Module;This isch Italian;This isch French
NULL;Titel;This isch Italian;This isch French
NULL;Note;This isch Italian;This isch French
NULL;Datum;This isch Italian;This isch French
NULL;Fach löschen;This isch Italian;This isch French
NULL;Schulfach;This isch Italian;This isch French
NULL;Informatik-Modul;This isch Italian;This isch French
NULL;Noch keine Noten vorhanden;This isch Italian;This isch French
NULL;Note Eintragen;This isch Italian;This isch French
NULL;Fach;This isch Italian;This isch French
NULL;Neues Fach hinzufügen;This isch Italian;This isch French
NULL;PE-Titel;This isch Italian;This isch French
NULL;Prozesseinheit;This isch Italian;This isch French
NULL;Sprache;This isch Italian;This isch French
NULL;STAO-Titel;This isch Italian;This isch French
NULL;Punkte;This isch Italian;This isch French
NULL;in Prozent;This isch Italian;This isch French
NULL;Prozentrechner;This isch Italian;This isch French
NULL;Erreichte Punktzahl;This isch Italian;This isch French
NULL;Maximale Punktzahl;This isch Italian;This isch French
NULL;Berechnen;This isch Italian;This isch French
NULL;Standortbestimmung;This isch Italian;This isch French
NULL;Stundenpläne der IT-Lernenden;This isch Italian;This isch French
NULL;Stundenpläne;This isch Italian;This isch French
NULL;Vorherige Woche;This isch Italian;This isch French
NULL;Nächste Woche;This isch Italian;This isch French
NULL;Kalenderwoche;This isch Italian;This isch French
NULL;Keine Daten;This isch Italian;This isch French
NULL;Ferien;This isch Italian;This isch French
NULL;Klassenauswahl;This isch Italian;This isch French
NULL;Stundenplan;This isch Italian;This isch French
NULL;Klasse speichern;This isch Italian;This isch French
NULL;Bevorstehende Termine;This isch Italian;This isch French
NULL;Vergangene Termine;This isch Italian;This isch French
NULL;Ablaufdatum;This isch Italian;This isch French
NULL;Termine bearbeiten;This isch Italian;This isch French
NULL;Beschreibung;This isch Italian;This isch French
NULL;Deadline;This isch Italian;This isch French
NULL;Neu;This isch Italian;This isch French
NULL;Stage;This isch Italian;This isch French
NULL;PA;This isch Italian;This isch French
NULL;Keine Daten in der Tabelle vorhanden;This isch Italian;This isch French
NULL;Keine Einträge vorhanden;This isch Italian;This isch French
NULL;Erste;This isch Italian;This isch French
NULL;Letzte;This isch Italian;This isch French
NULL;Leistungsziele;This isch Italian;This isch French
NULL;Keine Semester vorhanden;This isch Italian;This isch French
NULL;Es können Stichproben durchgeführt werden;This isch Italian;This isch French
NULL;Sind alle Angaben korrekt? Du kannst den Eintrag nach dem Bestätigen nicht mehr bearbeiten;This isch Italian;This isch French
NULL;Ihr Account wurde keiner Gruppe zugewiesen, oder Ihnen fehlen Rechte;This isch Italian;This isch French
NULL;Fehler;This isch Italian;This isch French
NULL;Eintrag löschen;This isch Italian;This isch French
NULL;Benutzer löschen;This isch Italian;This isch French
NULL;Bitte bestätigen Sie ihre auswahl;This isch Italian;This isch French
NULL;Bestätigen;This isch Italian;This isch French
NULL;Keine Daten gefunden;This isch Italian;This isch French
NULL;Änderungen wurden gespeichert;This isch Italian;This isch French
NULL;Benutzer wurde hinzugefügt;This isch Italian;This isch French
NULL;Eintrag wurde hinzugefügt;This isch Italian;This isch French
NULL;Lernende Informatik;This isch Italian;This isch French
NULL;Lernende KV Versicherung;This isch Italian;This isch French
NULL;Lernende KV Bank;This isch Italian;This isch French
NULL;Keine Lernende im System;This isch Italian;This isch French
NULL;Noch keine Einträge;This isch Italian;This isch French
NULL;CSV-Export;This isch Italian;This isch French
NULL;Keine Noten gefunden;This isch Italian;This isch French
NULL;Keine Fächer gefunden;This isch Italian;This isch French
